setting,alg,T,last,cesaro,pr,best,suffix_sqrtT
Goujaud2D,SHB_0.5,100,3.361e-04,4.238e-04,3.846e-04,3.361e-04,3.422e-04
Goujaud2D,SHB_0.5,1000,9.085e-06,9.338e-05,4.394e-05,9.085e-06,9.651e-06
Goujaud2D,SHB_0.5,10000,1.890e-21,1.246e-06,1.240e-08,1.890e-21,2.313e-21
Goujaud2D,SHB_0.9,100,6.885e-05,2.594e-04,1.515e-04,6.885e-05,7.570e-05
Goujaud2D,SHB_0.9,1000,1.217e-13,5.305e-06,1.616e-07,1.217e-13,1.720e-13
Goujaud2D,SHB_0.9,10000,4.133e-101,5.305e-08,1.620e-11,4.133e-101,1.388e-100
Goujaud2D,NAG_0.5,100,3.362e-04,4.114e-04,3.847e-04,3.362e-04,3.424e-04
Goujaud2D,NAG_0.5,1000,9.121e-06,9.339e-05,4.404e-05,9.121e-06,9.689e-06
Goujaud2D,NAG_0.5,10000,1.968e-21,1.248e-06,1.245e-08,1.968e-21,2.408e-21
Goujaud2D,Adam,100,1.118e-06,4.638e-05,9.633e-11,5.005e-14,9.947e-08
Goujaud2D,Adam,1000,1.170e-49,4.690e-07,4.302e-13,2.512e-50,1.927e-48
Goujaud2D,Adam,10000,5.698e-09,4.708e-09,3.848e-15,1.190e-89,1.676e-09
SCQuad10,SHB_0.5,100,5.931e-13,1.405e-04,4.164e-06,5.931e-13,2.009e-12
SCQuad10,SHB_0.5,1000,2.188e-108,1.405e-06,4.240e-10,2.188e-108,2.498e-106
SCQuad10,SHB_0.5,10000,0.000e+00,1.405e-08,4.248e-14,0.000e+00,0.000e+00
SCQuad10,SHB_0.9,100,9.264e-06,4.842e-05,2.698e-07,4.714e-06,1.644e-06
SCQuad10,SHB_0.9,1000,9.607e-47,4.792e-07,2.233e-11,2.950e-47,1.003e-48
SCQuad10,SHB_0.9,10000,0.000e+00,4.792e-09,2.237e-15,0.000e+00,0.000e+00
SCQuad10,NAG_0.5,100,3.420e-12,1.544e-04,5.278e-06,3.420e-12,1.049e-11
SCQuad10,NAG_0.5,1000,1.781e-100,1.544e-06,5.374e-10,1.781e-100,1.340e-98
SCQuad10,NAG_0.5,10000,0.000e+00,1.544e-08,5.384e-14,0.000e+00,0.000e+00
SCQuad10,Adam,100,2.181e-05,7.176e-05,3.096e-07,1.640e-05,1.387e-06
SCQuad10,Adam,1000,3.542e-09,7.201e-07,3.018e-11,3.968e-26,1.962e-11
SCQuad10,Adam,10000,5.423e-04,7.231e-09,5.584e-12,3.968e-26,7.264e-08
