t,Adam_eta=1/L,Adam_eta=0.1/L,Adam_eta=0.01/L,SGD_eta=1/L
1,1.3413e+00,4.1894e-01,6.2292e-01,7.4949e-02
2,6.0356e-01,2.4329e-01,5.9761e-01,2.1491e-02
3,2.0451e-01,1.1902e-01,5.7299e-01,1.3840e-02
4,4.9820e-01,4.3071e-02,5.4903e-01,1.1566e-02
5,6.2245e-01,9.4701e-03,5.2570e-01,1.0231e-02
6,3.6231e-01,8.9669e-03,5.0296e-01,9.1693e-03
7,1.4286e-01,2.9463e-02,4.8077e-01,8.2460e-03
8,1.5753e-01,5.7981e-02,4.5915e-01,7.4238e-03
9,2.5763e-01,8.3526e-02,4.3810e-01,6.6864e-03
10,2.6978e-01,9.9153e-02,4.1761e-01,6.0236e-03
12,1.3122e-01,9.4490e-02,3.7838e-01,4.8909e-03
14,1.3095e-01,5.9356e-02,3.4147e-01,3.9732e-03
17,8.5411e-02,1.1346e-02,2.9048e-01,2.9112e-03
19,9.7641e-02,3.2807e-03,2.5938e-01,2.3671e-03
23,6.3352e-02,2.1345e-02,2.0400e-01,1.5660e-03
27,2.1539e-02,1.7345e-02,1.5734e-01,1.0369e-03
31,1.8043e-02,1.7920e-03,1.1882e-01,6.8691e-04
36,1.6583e-02,5.9946e-03,8.0974e-02,4.1077e-04
42,6.3759e-03,1.5230e-03,4.8456e-02,2.2176e-04
50,2.6204e-03,1.9128e-03,2.1968e-02,9.7531e-05
58,1.7991e-03,4.1439e-04,8.5477e-03,4.2910e-05
68,7.7865e-04,9.0274e-05,1.9296e-03,1.5379e-05
79,1.0027e-04,4.1552e-05,1.8175e-04,4.9752e-06
92,3.8545e-05,2.4356e-05,2.9303e-05,1.3110e-06
108,1.2364e-05,2.0072e-06,4.5543e-05,2.5395e-07
126,1.7956e-06,3.4774e-07,1.2886e-05,4.0068e-08
148,8.1760e-08,5.6245e-08,3.1053e-06,4.1941e-09
173,1.3732e-08,4.9216e-09,1.2969e-06,3.2272e-10
202,2.1817e-10,1.6784e-10,4.0338e-07,1.6474e-11
236,1.5858e-11,8.3742e-12,1.0486e-07,5.0350e-13
276,3.7782e-13,1.8752e-14,2.3439e-08,8.3154e-15
322,2.3566e-15,9.2222e-16,4.8877e-09,7.4209e-17
377,6.1303e-18,1.6358e-18,7.6190e-10,2.6306e-19
441,1.1082e-20,3.0923e-21,7.1562e-11,3.7040e-22
515,4.4585e-24,4.0530e-25,3.2538e-12,1.8697e-25
602,2.2346e-14,6.9311e-29,5.0721e-14,2.4870e-29
704,3.8697e-06,5.0127e-33,1.7253e-16,7.1005e-34
823,1.0859e-05,1.9635e-38,6.1356e-20,3.5441e-39
962,7.9882e-08,1.8805e-45,4.4347e-25,2.2734e-45
1124,5.4164e-05,2.5810e-52,9.6585e-33,1.3776e-52
1314,3.3086e-03,5.5806e-61,2.2616e-47,4.7216e-61
1536,1.1472e-03,5.4564e-71,1.3626e-51,6.0725e-71
1796,9.0880e-04,7.1430e-83,4.7620e-64,1.5836e-82
2099,2.2825e-04,5.9898e-97,1.4214e-77,5.0136e-96
2454,1.6917e-02,1.1313e-04,1.1988e-93,7.6544e-112
2868,9.7128e-04,2.1967e-23,4.7343e-113,2.7482e-130
3353,3.0259e-03,2.2313e-06,4.9093e-135,6.7756e-152
3919,7.2121e-03,2.8933e-13,1.0160e-160,4.1122e-177
4582,1.6812e-03,4.6575e-07,8.4234e-191,1.1901e-206
5356,2.0175e-04,6.2680e-05,1.2086e-227,3.9058e-241
6261,5.4122e-06,2.6700e-06,4.6123e-268,1.8683e-281
7318,1.0047e-03,3.6135e-05,1.5415e-317,0.0000e+00
8555,5.8638e-04,3.7904e-06,7.6539e-38,0.0000e+00
10000,5.4228e-04,1.5034e-06,2.3872e-32,0.0000e+00
